state,total_vaccinations,total_distributed,people_vaccinated
Washington,534445.0,981050.0,441895.0
Illinois,766659.0,1591000.0,611024.0
California,2579666.0,5452575.0,2156029.0
Arizona,458258.0,990000.0,389059.0
Massachusetts,464275.0,956800.0,390470.0
Wisconsin,335519.0,790400.0,281166.0
Texas,1974374.0,3505450.0,1648575.0
Nebraska,139573.0,284275.0,114154.0
Utah,239807.0,394250.0,201134.0
Oregon,325488.0,599900.0,276200.0
Florida,1632491.0,3095850.0,1451507.0
New York,1518697.0,2744450.0,1286705.0
Rhode Island,76284.0,151675.0,59853.0
Georgia,712866.0,1412450.0,622905.0
New Hampshire,103080.0,190875.0,84813.0
North Carolina,716748.0,1397275.0,627980.0
New Jersey,611862.0,1207100.0,530412.0
Colorado,474527.0,775050.0,381679.0
Maryland,389253.0,820425.0,340191.0
Nevada,174367.0,338525.0,149464.0
Tennessee,487632.0,886225.0,374108.0
Hawaii,97692.0,217425.0,79147.0
Indiana,524180.0,920975.0,432791.0
Kentucky,323268.0,585500.0,285291.0
Minnesota,375395.0,787875.0,298902.0
Oklahoma,345144.0,569575.0,296308.0
Pennsylvania,851980.0,1817925.0,693731.0
South Carolina,326985.0,548250.0,275291.0
District of Columbia,68086.0,107575.0,53590.0
Kansas,168392.0,392875.0,140685.0
Missouri,358150.0,750175.0,276990.0
Vermont,55377.0,96825.0,44498.0
Virginia,629019.0,1179550.0,524196.0
Connecticut,360991.0,543975.0,302710.0
Iowa,204196.0,362875.0,165466.0
Louisiana,358746.0,620325.0,311135.0
Ohio,746249.0,1507000.0,657075.0
Michigan,772031.0,1352100.0,629437.0
South Dakota,86986.0,122825.0,65031.0
Arkansas,252824.0,406175.0,209445.0
Delaware,77449.0,140850.0,64952.0
Mississippi,190239.0,396550.0,172522.0
New Mexico,217075.0,303625.0,176038.0
North Dakota,77230.0,96425.0,58673.0
Wyoming,43425.0,82825.0,37963.0
Alaska,101597.0,170575.0,83363.0
Maine,109183.0,204325.0,86103.0
Alabama,266444.0,634000.0,232633.0
Idaho,96991.0,203225.0,80857.0
Montana,81169.0,133025.0,65746.0
West Virginia,214926.0,278400.0,169671.0
