state,total_vaccinations,total_distributed,people_vaccinated
Washington,195567.0,567725.0,162105.0
Illinois,347005.0,903100.0,284035.0
California,816301.0,3286050.0,703540.0
Arizona,141355.0,563025.0,95141.0
Massachusetts,204082.0,476025.0,184984.0
Wisconsin,137253.0,429500.0,125895.0
Texas,911461.0,1949125.0,809148.0
Nebraska,74439.0,177375.0,65924.0
Utah,95225.0,256275.0,90613.0
Oregon,104610.0,321425.0,99594.0
Florida,633440.0,1676300.0,586741.0
New York,579532.0,1622100.0,543014.0
Rhode Island,39568.0,80225.0,35385.0
Georgia,170571.0,960975.0,85110.0
New Hampshire,50613.0,122350.0,11615.0
North Carolina,211610.0,836450.0,189213.0
New Jersey,221045.0,654900.0,206737.0
Colorado,224428.0,516750.0,187838.0
Maryland,146231.0,552800.0,136576.0
Nevada,61653.0,207150.0,31320.0
Tennessee,251257.0,485800.0,143735.0
Hawaii,33483.0,141750.0,
Indiana,191844.0,540475.0,114781.0
Kentucky,132114.0,329450.0,102517.0
Minnesota,162240.0,453200.0,152280.0
Oklahoma,157843.0,381375.0,109045.0
Pennsylvania,341948.0,974725.0,266288.0
South Carolina,81075.0,315950.0,77042.0
District of Columbia,29812.0,62725.0,
Kansas,78268.0,193175.0,53988.0
Missouri,161784.0,485175.0,107939.0
Vermont,25757.0,64925.0,
Virginia,190607.0,797150.0,
Connecticut,151395.0,250775.0,56350.0
Iowa,98691.0,208875.0,91969.0
Louisiana,142771.0,368300.0,117022.0
Ohio,311890.0,866050.0,311867.0
Michigan,227685.0,768150.0,207786.0
South Dakota,48698.0,83500.0,41322.0
Arkansas,40879.0,274400.0,39357.0
Delaware,26410.0,88325.0,15911.0
Mississippi,54544.0,212050.0,45733.0
New Mexico,78235.0,177075.0,43344.0
North Dakota,39479.0,53525.0,33648.0
Wyoming,16467.0,47800.0,13577.0
Alaska,35838.0,141600.0,22486.0
Maine,54945.0,132975.0,38045.0
Alabama,78134.0,377025.0,70861.0
Idaho,35845.0,146750.0,31504.0
Montana,42083.0,78350.0,30887.0
West Virginia,103330.0,160975.0,
