state,total_vaccinations,total_distributed,people_vaccinated
Washington,797358.0,1168625.0,637940.0
Illinois,1178369.0,2053325.0,905981.0
California,3723803.0,6438225.0,3085932.0
Arizona,686116.0,1185700.0,573845.0
Massachusetts,652929.0,1229075.0,517135.0
Wisconsin,548912.0,925800.0,458321.0
Texas,2805359.0,4232675.0,2181310.0
Nebraska,195126.0,344225.0,141657.0
Utah,353469.0,492450.0,258569.0
Oregon,471983.0,706575.0,369704.0
Florida,2223754.0,3658975.0,1793625.0
New York,2060301.0,3377325.0,1576553.0
Rhode Island,103876.0,178600.0,75963.0
Georgia,1008040.0,1686125.0,834091.0
New Hampshire,145086.0,244025.0,108112.0
North Carolina,1063474.0,1715675.0,875375.0
New Jersey,851721.0,1433750.0,703957.0
Colorado,638923.0,983225.0,485332.0
Maryland,565821.0,972225.0,463885.0
Nevada,291601.0,424800.0,244381.0
Tennessee,684242.0,1090300.0,477784.0
Hawaii,151107.0,262900.0,120533.0
Indiana,671191.0,1116375.0,541269.0
Kentucky,455783.0,746500.0,372114.0
Minnesota,634453.0,931500.0,459716.0
Oklahoma,484384.0,700225.0,382044.0
Pennsylvania,1218735.0,2203850.0,958587.0
South Carolina,497433.0,683600.0,403766.0
District of Columbia,94095.0,164900.0,66645.0
Kansas,251425.0,471775.0,198352.0
Missouri,505207.0,945850.0,388692.0
Vermont,77198.0,116075.0,56221.0
Virginia,949066.0,1381375.0,774590.0
Connecticut,481826.0,666175.0,375795.0
Iowa,279252.0,471200.0,206516.0
Louisiana,509982.0,746550.0,393389.0
Ohio,1128082.0,1899800.0,908994.0
Michigan,1078808.0,1634000.0,835524.0
South Dakota,115676.0,153450.0,81697.0
Arkansas,338227.0,516925.0,266563.0
Delaware,110784.0,161525.0,89727.0
Mississippi,250905.0,494975.0,222860.0
New Mexico,294566.0,364775.0,224290.0
North Dakota,106900.0,131625.0,74387.0
Wyoming,60775.0,97750.0,49361.0
Alaska,129936.0,240325.0,99596.0
Maine,153439.0,254550.0,114962.0
Alabama,408428.0,799675.0,338845.0
Idaho,141897.0,262275.0,113110.0
Montana,116148.0,163675.0,87042.0
West Virginia,276753.0,328600.0,197939.0
