state,total_vaccinations,total_distributed,people_vaccinated
Washington,225238.0,655575.0,187450.0
Illinois,403666.0,958125.0,316876.0
California,975293.0,3540175.0,801998.0
Arizona,173665.0,570625.0,157397.0
Massachusetts,233476.0,669225.0,204481.0
Wisconsin,149955.0,437900.0,135841.0
Texas,1043624.0,2105600.0,917387.0
Nebraska,84920.0,199800.0,72079.0
Utah,115384.0,267975.0,103833.0
Oregon,129796.0,335075.0,119980.0
Florida,774485.0,1970875.0,709002.0
New York,688576.0,1872625.0,617596.0
Rhode Island,44871.0,84125.0,38000.0
Georgia,231305.0,1010900.0,204301.0
New Hampshire,58711.0,127225.0,53780.0
North Carolina,268212.0,969700.0,233038.0
New Jersey,263422.0,658800.0,235152.0
Colorado,254706.0,531775.0,209300.0
Maryland,178056.0,564625.0,165318.0
Nevada,76844.0,210075.0,62370.0
Tennessee,264713.0,656550.0,238943.0
Hawaii,47985.0,154150.0,
Indiana,233488.0,630025.0,203889.0
Kentucky,155613.0,332375.0,145320.0
Minnesota,179684.0,516800.0,161507.0
Oklahoma,187266.0,399900.0,160035.0
Pennsylvania,410414.0,1065300.0,353821.0
South Carolina,115855.0,346150.0,96231.0
District of Columbia,36679.0,68325.0,29927.0
Kansas,91565.0,263175.0,77590.0
Missouri,175314.0,528300.0,145521.0
Vermont,29571.0,69800.0,26603.0
Virginia,217836.0,852725.0,192918.0
Connecticut,171897.0,328675.0,156366.0
Iowa,112093.0,268025.0,100805.0
Louisiana,175811.0,370175.0,149064.0
Ohio,348424.0,967450.0,338961.0
Michigan,327235.0,773650.0,286349.0
South Dakota,54284.0,88375.0,44721.0
Arkansas,108316.0,297800.0,90339.0
Delaware,31090.0,91250.0,25649.0
Mississippi,71848.0,219800.0,64654.0
New Mexico,89415.0,204750.0,73428.0
North Dakota,42774.0,68675.0,35293.0
Wyoming,19776.0,58775.0,17310.0
Alaska,42596.0,150450.0,35508.0
Maine,61129.0,136875.0,51631.0
Alabama,92300.0,435350.0,80480.0
Idaho,42586.0,160075.0,35179.0
Montana,46620.0,98500.0,39103.0
West Virginia,118660.0,160975.0,99061.0
