state,total_vaccinations,total_distributed,people_vaccinated
Washington,2143916.0,2657880.0,1367009.0
Illinois,3473676.0,4378835.0,2346663.0
California,10634752.0,13885120.0,7205989.0
Arizona,2162602.0,2623735.0,1388900.0
Massachusetts,2148356.0,2497130.0,1463301.0
Wisconsin,1770069.0,1924865.0,1128307.0
Texas,6938167.0,9250505.0,4313322.0
Nebraska,556061.0,712720.0,356090.0
Utah,833167.0,993140.0,482511.0
Oregon,1172840.0,1420125.0,742710.0
Florida,5900450.0,7771315.0,3714407.0
New York,5237597.0,7010045.0,3438817.0
Rhode Island,319369.0,387365.0,229095.0
Georgia,2366573.0,3437635.0,1396280.0
New Hampshire,382103.0,496675.0,278812.0
North Carolina,2830672.0,3624905.0,1805008.0
New Jersey,2534361.0,3070400.0,1749281.0
Colorado,1626499.0,2019460.0,1046640.0
Maryland,1645609.0,2116560.0,1089583.0
Nevada,829262.0,1033680.0,527092.0
Tennessee,1634598.0,2305870.0,1041609.0
Hawaii,436036.0,598100.0,272100.0
Indiana,1844669.0,2206230.0,1130035.0
Kentucky,1254160.0,1555915.0,847662.0
Minnesota,1681447.0,1953700.0,1123285.0
Oklahoma,1278427.0,1741270.0,802893.0
Pennsylvania,3319263.0,4641045.0,2274225.0
South Carolina,1347330.0,1642615.0,851400.0
District of Columbia,225875.0,337095.0,98505.0
Kansas,734335.0,1091625.0,508326.0
Missouri,1600118.0,2032445.0,1007667.0
Vermont,191529.0,261100.0,122891.0
Virginia,2445932.0,2881325.0,1567671.0
Connecticut,1195617.0,1434565.0,856048.0
Iowa,906470.0,1106755.0,631178.0
Louisiana,1180945.0,1640860.0,741681.0
Ohio,3131288.0,4057505.0,2001222.0
Michigan,2716893.0,3363430.0,1758766.0
South Dakota,322959.0,399640.0,211458.0
Arkansas,765260.0,1088150.0,489149.0
Delaware,275467.0,361765.0,169956.0
Mississippi,764699.0,1067855.0,498585.0
New Mexico,814029.0,901345.0,528061.0
North Dakota,272721.0,299900.0,170418.0
Wyoming,178035.0,236065.0,110971.0
Alaska,295046.0,426715.0,180948.0
Maine,399534.0,503580.0,268229.0
Alabama,1110132.0,1628350.0,727681.0
Idaho,471043.0,594115.0,296541.0
Montana,337005.0,411145.0,217186.0
West Virginia,601440.0,723565.0,363429.0
