state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1666839.0,2245010.0,1105687.0
Illinois,17,2735250.0,3575135.0,1964466.0
California,06,8566470.0,11587650.0,5994948.0
Arizona,04,1728239.0,2148015.0,1195110.0
Massachusetts,25,1684341.0,2091730.0,1194345.0
Wisconsin,55,1421435.0,1588665.0,937388.0
Texas,48,5394961.0,7615175.0,3445638.0
Nebraska,31,443974.0,603210.0,294145.0
Utah,49,687876.0,820950.0,391510.0
Oregon,41,960674.0,1241415.0,616134.0
Florida,12,4822353.0,6313255.0,3039028.0
New York,36,0,0,0
Rhode Island,44,245606.0,308415.0,176107.0
Georgia,13,2070076.0,2881145.0,1258671.0
New Hampshire,33,310769.0,412275.0,224347.0
North Carolina,37,2366027.0,2985475.0,1504356.0
New Jersey,34,2008524.0,2508320.0,1385622.0
Colorado,08,1324715.0,1700660.0,876958.0
Maryland,24,1280675.0,1837445.0,860103.0
Nevada,32,665577.0,867240.0,437485.0
Tennessee,47,1301529.0,1965740.0,845090.0
Hawaii,15,370746.0,497760.0,243013.0
Indiana,18,1551945.0,1848620.0,987547.0
Kentucky,21,980727.0,1317325.0,677007.0
Minnesota,27,1322288.0,1599790.0,888433.0
Oklahoma,40,1046995.0,1399890.0,665948.0
Pennsylvania,42,2676006.0,3915545.0,1868724.0
South Carolina,45,1057969.0,1339205.0,725393.0
District of Columbia,11,184748.0,284655.0,79693.0
Kansas,20,583498.0,867585.0,416368.0
Missouri,29,1278087.0,1694635.0,805542.0
Vermont,50,156929.0,206910.0,101529.0
Virginia,51,2002734.0,2536495.0,1316987.0
Connecticut,09,980211.0,1198495.0,671322.0
Iowa,19,684596.0,901745.0,515659.0
Louisiana,22,1019381.0,1331680.0,640314.0
Ohio,39,2501854.0,3301865.0,1638626.0
Michigan,26,2245696.0,2704700.0,1444239.0
South Dakota,46,269289.0,329300.0,178635.0
Arkansas,05,622665.0,892660.0,405877.0
Delaware,10,212739.0,291815.0,141310.0
Mississippi,28,593453.0,869955.0,401141.0
New Mexico,35,678087.0,738705.0,450558.0
North Dakota,38,225330.0,246570.0,142174.0
Wyoming,56,151584.0,195855.0,97414.0
Alaska,02,259538.0,342535.0,163739.0
Maine,23,332358.0,416090.0,227192.0
Alabama,01,931090.0,1402180.0,643208.0
Idaho,16,378401.0,485195.0,249980.0
Montana,30,271075.0,341645.0,183889.0
West Virginia,54,526059.0,605255.0,314571.0
