state,total_vaccinations,total_distributed,people_vaccinated
Washington,720603.0,1031400.0,582420.0
Illinois,1054814.0,1696575.0,817253.0
California,3453284.0,5666550.0,2861767.0
Arizona,620608.0,1013375.0,524413.0
Massachusetts,608947.0,1060900.0,484829.0
Wisconsin,513385.0,795050.0,429609.0
Texas,2496232.0,3659550.0,1991555.0
Nebraska,180917.0,288375.0,134193.0
Utah,323030.0,401375.0,244613.0
Oregon,423627.0,665325.0,342827.0
Florida,2005378.0,3396350.0,1683674.0
New York,1927665.0,2932775.0,1511266.0
Rhode Island,94240.0,173225.0,68779.0
Georgia,930517.0,1449800.0,785487.0
New Hampshire,130515.0,217100.0,100041.0
North Carolina,975743.0,1423475.0,818858.0
New Jersey,810293.0,1232525.0,680591.0
Colorado,589787.0,813400.0,455422.0
Maryland,528301.0,884650.0,440763.0
Nevada,248754.0,368800.0,211931.0
Tennessee,627911.0,998875.0,447977.0
Hawaii,135836.0,227400.0,108745.0
Indiana,607185.0,931500.0,495746.0
Kentucky,415545.0,650150.0,347384.0
Minnesota,546330.0,837550.0,425546.0
Oklahoma,443581.0,594925.0,360670.0
Pennsylvania,1134185.0,1976925.0,900237.0
South Carolina,462751.0,560150.0,379136.0
District of Columbia,82519.0,148525.0,63208.0
Kansas,226895.0,413350.0,183035.0
Missouri,462202.0,835400.0,355387.0
Vermont,72428.0,99750.0,53967.0
Virginia,870820.0,1232350.0,718113.0
Connecticut,449253.0,578600.0,357588.0
Iowa,257468.0,417900.0,194009.0
Louisiana,463179.0,648925.0,376491.0
Ohio,1004624.0,1553900.0,824597.0
Michigan,1005544.0,1362600.0,794391.0
South Dakota,107685.0,130700.0,77052.0
Arkansas,311230.0,453700.0,249943.0
Delaware,102697.0,143775.0,84482.0
Mississippi,238859.0,425000.0,213525.0
New Mexico,275224.0,317900.0,212216.0
North Dakota,99481.0,108050.0,71587.0
Wyoming,58721.0,85750.0,48155.0
Alaska,122020.0,193150.0,96396.0
Maine,145786.0,212125.0,109917.0
Alabama,358280.0,659400.0,301628.0
Idaho,124377.0,221550.0,100946.0
Montana,106145.0,141650.0,80627.0
West Virginia,260325.0,305200.0,192951.0
