state,total_vaccinations,total_distributed,people_vaccinated
Washington,2303420.0,2989200.0,1469986.0
Illinois,3672596.0,4863485.0,2452227.0
California,11062505.0,15301360.0,7497005.0
Arizona,2293559.0,2887485.0,1464494.0
Massachusetts,2313916.0,2724620.0,1567359.0
Wisconsin,1839822.0,2169885.0,1171932.0
Texas,7529655.0,10509965.0,4740604.0
Nebraska,607373.0,774790.0,396661.0
Utah,903099.0,1091460.0,529210.0
Oregon,1238835.0,1608165.0,784943.0
Florida,6070173.0,8531035.0,3833243.0
New York,5691711.0,7698785.0,3781666.0
Rhode Island,340997.0,424815.0,246202.0
Georgia,2408998.0,3782385.0,1422182.0
New Hampshire,405366.0,531815.0,297909.0
North Carolina,2979031.0,3960335.0,1906434.0
New Jersey,2714949.0,3302940.0,1871063.0
Colorado,1694476.0,2213800.0,1089653.0
Maryland,1761081.0,2320250.0,1175253.0
Nevada,878645.0,1137630.0,553065.0
Tennessee,1711512.0,2439940.0,1091669.0
Hawaii,475859.0,647520.0,294934.0
Indiana,1934412.0,2473740.0,1186992.0
Kentucky,1318808.0,1709375.0,891206.0
Minnesota,1771967.0,2167130.0,1185323.0
Oklahoma,1334818.0,1889040.0,839508.0
Pennsylvania,3638014.0,4968885.0,2470284.0
South Carolina,1423016.0,1817845.0,902545.0
District of Columbia,238189.0,358485.0,105267.0
Kansas,769636.0,1194795.0,532078.0
Missouri,1685362.0,2197225.0,1060792.0
Vermont,207110.0,281530.0,132811.0
Virginia,2616782.0,3141805.0,1684219.0
Connecticut,1272581.0,1558445.0,920595.0
Iowa,969877.0,1196265.0,663400.0
Louisiana,1309279.0,1787330.0,825386.0
Ohio,3316480.0,4444875.0,2109012.0
Michigan,2831319.0,3777560.0,1834706.0
South Dakota,332059.0,424610.0,217047.0
Arkansas,799184.0,1162330.0,513591.0
Delaware,285262.0,397815.0,174501.0
Mississippi,801306.0,1147355.0,523070.0
New Mexico,840633.0,988615.0,546442.0
North Dakota,280757.0,321600.0,175078.0
Wyoming,190180.0,259495.0,116799.0
Alaska,307769.0,445125.0,188281.0
Maine,441443.0,557580.0,296707.0
Alabama,1173820.0,1775660.0,768502.0
Idaho,497534.0,627055.0,309022.0
Montana,349631.0,446835.0,224812.0
West Virginia,611113.0,778825.0,370361.0
