state,total_vaccinations,total_distributed,people_vaccinated
Washington,1362197.0,1601125.0,982469.0
Illinois,2174539.0,2883925.0,1647720.0
California,6964603.0,9164130.0,5159868.0
Arizona,1376405.0,1679175.0,1036237.0
Massachusetts,1316402.0,1580500.0,987512.0
Wisconsin,1137395.0,1300325.0,818760.0
Texas,4542622.0,5520100.0,3205884.0
Nebraska,347754.0,472325.0,235260.0
Utah,584648.0,657150.0,343017.0
Oregon,767637.0,922300.0,529837.0
Florida,4198451.0,4971575.0,2793123.0
New York,3447521.0,4165325.0,2296133.0
Rhode Island,181725.0,246175.0,124576.0
Georgia,1720789.0,2286360.0,1158554.0
New Hampshire,241386.0,328525.0,166491.0
North Carolina,1959215.0,2293000.0,1339762.0
New Jersey,1604448.0,1809900.0,1139254.0
Colorado,1132448.0,1332775.0,780757.0
Maryland,1011323.0,1435375.0,709862.0
Nevada,522332.0,645250.0,380921.0
Tennessee,1083579.0,1466450.0,740230.0
Hawaii,301369.0,397750.0,210213.0
Indiana,1194094.0,1487400.0,841694.0
Kentucky,779109.0,998250.0,547573.0
Minnesota,1051784.0,1269275.0,754315.0
Oklahoma,813518.0,1061775.0,565691.0
Pennsylvania,2184973.0,2989725.0,1601176.0
South Carolina,848054.0,1064775.0,610292.0
District of Columbia,157111.0,225125.0,106692.0
Kansas,466718.0,624975.0,334112.0
Missouri,1014248.0,1222875.0,708969.0
Vermont,127619.0,159650.0,86590.0
Virginia,1645485.0,1942700.0,1154362.0
Connecticut,822615.0,958925.0,558539.0
Iowa,552706.0,669900.0,411926.0
Louisiana,859565.0,987625.0,572666.0
Ohio,1999736.0,2504150.0,1432292.0
Michigan,1833886.0,2270370.0,1223696.0
South Dakota,218198.0,262800.0,148976.0
Arkansas,517271.0,691525.0,362972.0
Delaware,175305.0,204200.0,130818.0
Mississippi,474304.0,647825.0,341669.0
New Mexico,562580.0,599575.0,379606.0
North Dakota,182325.0,192100.0,122026.0
Wyoming,124310.0,150005.0,87289.0
Alaska,216223.0,299935.0,143887.0
Maine,268162.0,335375.0,190220.0
Alabama,739132.0,1077600.0,545431.0
Idaho,304647.0,357200.0,211625.0
Montana,221225.0,250795.0,157930.0
West Virginia,440614.0,481225.0,279255.0
