state,total_vaccinations,total_distributed,people_vaccinated
Washington,1800030.0,2245010.0,1166618.0
Illinois,2906555.0,3575135.0,2045444.0
California,9106077.0,11587650.0,6294258.0
Arizona,1849259.0,2148015.0,1244879.0
Massachusetts,1803528.0,2091730.0,1260542.0
Wisconsin,1500923.0,1588665.0,971107.0
Texas,5572496.0,7615175.0,3533100.0
Nebraska,476315.0,603210.0,311102.0
Utah,688506.0,820950.0,391925.0
Oregon,1024055.0,1241415.0,650472.0
Florida,5047960.0,6313355.0,3166839.0
New York,4355544.0,5757205.0,2777745.0
Rhode Island,269512.0,308415.0,192198.0
Georgia,2072628.0,2881145.0,1260430.0
New Hampshire,324806.0,412275.0,236501.0
North Carolina,2525579.0,2985475.0,1615012.0
New Jersey,2096498.0,2508320.0,1448799.0
Colorado,1412910.0,1700660.0,924947.0
Maryland,1364145.0,1837445.0,906877.0
Nevada,715121.0,867240.0,458492.0
Tennessee,1394659.0,1965740.0,903477.0
Hawaii,389644.0,497760.0,250646.0
Indiana,1615149.0,1848620.0,1016048.0
Kentucky,1046835.0,1317325.0,713307.0
Minnesota,1429631.0,1599790.0,963223.0
Oklahoma,1119049.0,1399890.0,704200.0
Pennsylvania,2835338.0,3915545.0,1956197.0
South Carolina,1116811.0,1339205.0,755284.0
District of Columbia,198047.0,284655.0,84724.0
Kansas,620939.0,867585.0,439896.0
Missouri,1375027.0,1694635.0,865315.0
Vermont,168050.0,206910.0,107238.0
Virginia,2136926.0,2536495.0,1379963.0
Connecticut,1031305.0,1198495.0,712375.0
Iowa,734845.0,901745.0,546840.0
Louisiana,1076576.0,1331680.0,678364.0
Ohio,2660844.0,3301865.0,1723002.0
Michigan,2357259.0,2704700.0,1514180.0
South Dakota,282075.0,329300.0,186324.0
Arkansas,661572.0,892660.0,425567.0
Delaware,225374.0,291815.0,145722.0
Mississippi,637116.0,869955.0,422306.0
New Mexico,711612.0,738705.0,470185.0
North Dakota,238585.0,246570.0,149458.0
Wyoming,156741.0,195855.0,99880.0
Alaska,268406.0,342535.0,168069.0
Maine,334009.0,416090.0,228686.0
Alabama,948393.0,1402280.0,653309.0
Idaho,404250.0,485195.0,263438.0
Montana,284679.0,341645.0,191091.0
West Virginia,534053.0,605255.0,318168.0
